alias,categories,id,id_closed,name,rating,review_count
kalamaki-gr-flushing-2,greek,fVJUSwTsWqFnarBHCy5Ydw,False,Kalamaki GR,4.0,215
souvlaki-gr-new-york-6,greek,oY-tooKEm8F-6Il1JOQzKg,False,Souvlaki GR,4.0,561
athena-mediterranean-cuisine-brooklyn-3,greek,PiDidGDx15RYgiQFKeFZSg,False,Athena Mediterranean Cuisine,4.0,316
voula-new-york,greek,9LJJRCx9RF7jyaaM2Xhq6g,False,Voula,4.5,76
greek-express-bronx,greek,K0UNoqk1PczdaiZfoMRbEA,False,Greek Express,4.0,217
faros-restaurant-brooklyn-4,greek,d5i5NvBcah7zX0Z5nK5BHA,False,Faros Restaurant,4.0,197
kefi-new-york,greek,9S3jJb4u4ILKMdiNeIiKQQ,False,Kefi,4.0,127
the-greek-kitchen-new-york,greek,blXVGUTB-4epYW9KFsQJ_g,False,The Greek Kitchen,4.0,471
e-taverna-to-koutouki-astoria,greek,_Mpp5d7mjLLZbDFSLx7LVg,False,E Taverna To Koutouki,4.5,190
greek-eats-new-york,greek,mdhwe9pw_OD9DGPLZUmzKQ,False,Greek Eats,4.0,342
karvouna-mezze-new-york-2,greek,x7Q721PDf7s1iYYP7diaVw,False,Karvouna Mezze,4.5,20
the-greek-new-york,greek,6gDUVNZo0E9lxO2DkAhHOQ,False,The Greek,4.5,468
kikis-new-york,greek,_4Grm99JEHnDWskCHAJfUg,False,Kiki's,4.0,541
souvlaki-gr-new-york-3,greek,gG0pitVnSaUMGbEL3boF0g,False,Souvlaki GR,4.0,839
pylos-new-york,greek,7xV4gzrgaOgQYtPC3FBZig,False,Pylos,4.5,1093
taverna-kyclades-east-village-new-york-2,greek,apykLG7DTZ-7xnOcZGDZZA,False,Taverna Kyclades - East Village,4.0,773
taverna-kyclades-astoria,greek,JEQ00qBAepe0oSiUBdfIew,False,Taverna Kyclades,4.0,2155
ela-taverna-brooklyn,greek,Rn3Lf7BLoMHul0dEiNtT5Q,False,Ela Taverna,4.0,100
avlee-greek-kitchen-brooklyn-3,greek,-fcbr1p0Uijjg3WpDDn5VA,False,Avlee Greek Kitchen,4.5,241
loukoumi-taverna-astoria-2,greek,wPx4aNffBizdYmCG-WLKpQ,False,Loukoumi Taverna,4.5,411
kalamaki-gr-flushing-2,greek,fVJUSwTsWqFnarBHCy5Ydw,False,Kalamaki GR,4.0,215
souvlaki-gr-new-york-6,greek,oY-tooKEm8F-6Il1JOQzKg,False,Souvlaki GR,4.0,561
athena-mediterranean-cuisine-brooklyn-3,greek,PiDidGDx15RYgiQFKeFZSg,False,Athena Mediterranean Cuisine,4.0,316
voula-new-york,greek,9LJJRCx9RF7jyaaM2Xhq6g,False,Voula,4.5,76
greek-express-bronx,greek,K0UNoqk1PczdaiZfoMRbEA,False,Greek Express,4.0,217
faros-restaurant-brooklyn-4,greek,d5i5NvBcah7zX0Z5nK5BHA,False,Faros Restaurant,4.0,197
kefi-new-york,greek,9S3jJb4u4ILKMdiNeIiKQQ,False,Kefi,4.0,127
the-greek-kitchen-new-york,greek,blXVGUTB-4epYW9KFsQJ_g,False,The Greek Kitchen,4.0,471
e-taverna-to-koutouki-astoria,greek,_Mpp5d7mjLLZbDFSLx7LVg,False,E Taverna To Koutouki,4.5,190
greek-eats-new-york,greek,mdhwe9pw_OD9DGPLZUmzKQ,False,Greek Eats,4.0,342
karvouna-mezze-new-york-2,greek,x7Q721PDf7s1iYYP7diaVw,False,Karvouna Mezze,4.5,20
yemen-cafe-and-restaurant-brooklyn-3,middle_eastern,wctR1TrheHAwpHZ2sJknEw,False,Yemen Cafe & Restaurant,4.5,466
cafe-mogador-new-york,middle_eastern,W4hobe10Fy54MKqmLaObEg,False,Cafe Mogador,4.0,1820
bedouin-tent-brooklyn,middle_eastern,nGpC40fxoDQ-Ft0h-_gkVg,False,Bedouin Tent,4.0,589
tanoreen-brooklyn-2,middle_eastern,_-EQR2vNYg-b1eZwAgp6JQ,False,Tanoreen,4.0,796
manousheh-new-york-2,middle_eastern,VSPkVw9gSQx-5v4A6aC_YA,False,Manousheh,4.5,391
